name,base-mathsat,base-mathsat-time,base-z3,base-z3-time,base result,base time,base command,h1-mathsat,h1-mathsat-time,h1-z3,h1-z3-time,h1 result,h1 time,h1 command,h2-mathsat,h2-mathsat-time,h2-z3,h2-z3-time,h2 result,h2 time,h2 command,h12-mathsat,h12-mathsat-time,h12-z3,h12-z3-time,h12 result,h12 time,h12 command,direct-z3,direct-z3-time,z3 command
BrockschmidtCookFuhs-CAV2013-Introduction_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
Cairo_nondet_false-termination.c.smt2,TRUE,4329,TRUE,6756,TRUE,4329,./PolyHorn experiments/benchmarks/RevTerm/all/Cairo_nondet_false-termination.c.smt2 experiments/configs-base/mathsat/benchmarks/RevTerm/all/Cairo_nondet_false-termination.c.smt2.json,TRUE,363,TRUE,504,TRUE,363,./PolyHorn experiments/benchmarks/RevTerm/best_config/Cairo_nondet_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/best_config/Cairo_nondet_false-termination.c.smt2.json,TRUE,7791,TRUE,101880,TRUE,7791,./PolyHorn experiments/benchmarks/RevTerm/all/Cairo_nondet_false-termination.c.smt2 experiments/configs-h2/mathsat/benchmarks/RevTerm/all/Cairo_nondet_false-termination.c.smt2.json,TRUE,1765,TRUE,659,TRUE,659,./PolyHorn experiments/benchmarks/RevTerm/best_config/Cairo_nondet_false-termination.c.smt2 experiments/configs-h12/z3/benchmarks/RevTerm/best_config/Cairo_nondet_false-termination.c.smt2.json,TRUE,22086,z3 experiments/benchmarks/RevTerm/all/Cairo_nondet_false-termination.c.smt2
Cairo_step2_false-termination.c.smt2,TRUE,3626,TRUE,95425,TRUE,3626,./PolyHorn experiments/benchmarks/RevTerm/best_config/Cairo_step2_false-termination.c.smt2 experiments/configs-base/mathsat/benchmarks/RevTerm/best_config/Cairo_step2_false-termination.c.smt2.json,TRUE,2144,TRUE,31944,TRUE,2144,./PolyHorn experiments/benchmarks/RevTerm/all/Cairo_step2_false-termination.c.smt2 experiments/configs-h1/mathsat/benchmarks/RevTerm/all/Cairo_step2_false-termination.c.smt2.json,FALSE,,TRUE,101218,TRUE,101218,./PolyHorn experiments/benchmarks/RevTerm/all/Cairo_step2_false-termination.c.smt2 experiments/configs-h2/z3/benchmarks/RevTerm/all/Cairo_step2_false-termination.c.smt2.json,FALSE,,TRUE,33358,TRUE,33358,./PolyHorn experiments/benchmarks/RevTerm/all/Cairo_step2_false-termination.c.smt2 experiments/configs-h12/z3/benchmarks/RevTerm/all/Cairo_step2_false-termination.c.smt2.json,TRUE,1336,z3 experiments/benchmarks/RevTerm/best_config/Cairo_step2_false-termination.c.smt2
Cairo_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron1_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron12_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron4_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
ChawdharyCookGulwaniSagivYang-ESOP2008-aaron6_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
ChawdharyCookGulwaniSagivYang-ESOP2008-random1d_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
ChawdharyCookGulwaniSagivYang-ESOP2008-random2d_true-termination.c.smt2,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,FALSE,,FALSE,,,FALSE,,
